branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,5638,5793,1.03,0.08,1.33,9,6,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2017,2017
,,501,508,1.01,0.01,0.12,7,0,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2017,2017
,,321,393,1.22,0.01,0.09,4,4,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2017,2017
,,581,654,1.13,0.01,0.15,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2017,2017
,,7275,7463,1.03,0.1,1.72,10,8,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
,,5523,5831,1.06,0.08,1.34,10,8,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
,,1940,2048,1.06,0.03,0.47,4,2,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
,,550,565,1.03,0.01,0.13,1,0,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2017,2017
,,10378,10567,1.02,0.15,2.43,5,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2017,2017
,,2368,2390,1.01,0.03,0.55,5,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2017,2017
,,23,23,1.0,0.0,0.01,4,3,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2017,2017
,,7853,8457,1.08,0.12,1.95,2,2,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2017,2017
,,1108,1248,1.13,0.02,0.29,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2017,2017
,,2089,2109,1.01,0.03,0.49,6,3,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2017,2017
,,4275,4409,1.03,0.06,1.02,7,4,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2017,2017
,,15144,15667,1.03,0.22,3.61,4,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2017,2017
,,540,614,1.14,0.01,0.14,8,7,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2017,2017
,,1460,1660,1.14,0.02,0.38,4,2,,,,,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2017,2017
,,6746,6767,1.0,0.1,1.56,4,3,,,,,A33 ZABURZENIA RÓWNOWAGI,1a,2017,2017
,,5516,6363,1.15,0.09,1.47,2,2,,,,,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2017,2017
,,11649,12401,1.06,0.17,2.86,7,4,,,,,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2017,2017
,,4946,5390,1.09,0.08,1.24,5,0,,,,,A35C CHOROBY ZWYRODNIENIOWE OUN,1a,2017,2017
,,2659,2708,1.02,0.04,0.62,6,4,,,,,A35D CHOROBY ZWYRODNIENIOWE OUN>3 DNI,1a,2017,2017
,,11166,14723,1.32,0.21,3.39,4,2,,,,,A36 CHOROBY DEMIELINIZACYJNE,1a,2017,2017
,,30545,32238,1.06,0.45,7.42,5,3,,,,,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2017,2017
,,9265,9442,1.02,0.13,2.17,5,3,,,,,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2017,2017
,,31061,31507,1.01,0.44,7.25,5,4,,,,,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2017,2017
,,48114,49165,1.02,0.69,11.32,10,8,,,,,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2017,2017
,,15639,15819,1.01,0.22,3.64,8,7,,,,,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2017,2017
,,11456,11612,1.01,0.16,2.67,3,1,,,,,A50 UDAR MÓZGU - LECZENIE,1a,2017,2017
,,8764,8807,1.0,0.12,2.03,10,8,,,,,A51 UDAR MÓZGU - LECZENIE TROMBOLITYCZNE > 7 DNI W ODDZIALE UDAROWYM,1a,2017,2017
,,3489,3565,1.02,0.05,0.82,5,3,,,,,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2017,2017
,,5001,5990,1.2,0.08,1.38,10,2,,,,,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2017,2017
,,729,741,1.02,0.01,0.17,5,2,,,,,A58 ENCEFALOPATIA,1a,2017,2017
,,24234,24724,1.02,0.35,5.69,3,2,,,,,A59 BÓLE GŁOWY,1a,2017,2017
,,7206,7778,1.08,0.11,1.79,3,2,,,,,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2017,2017
,,11707,12081,1.03,0.17,2.78,6,4,,,,,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2017,2017
,,11548,11747,1.02,0.16,2.7,4,2,,,,,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2017,2017
,,16940,17045,1.01,0.24,3.92,1,1,,,,,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2017,2017
,,1173,1463,1.25,0.02,0.34,5,2,,,,,A86 CHOROBY NEURONU RUCHOWEGO,1a,2017,2017
,,53984,56084,1.04,0.79,12.91,5,2,,,,,A87A INNE CHOROBY UKŁADU NERWOWEGO>17 R.Ż.,1a,2017,2017
,,14488,15743,1.09,0.22,3.62,2,2,,,,,A87B INNE CHOROBY UKŁADU NERWOWEGO<18 R.Ż.,1a,2017,2017
