branch,hospital-types,type-of-admission-code,type-of-admission-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,3,nagły,5417,92.31,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,1,planowe,451,7.69,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,4,inne,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,3,nagły,328,55.03,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,1,planowe,268,44.97,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,4,inne,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,3,nagły,26,10.36,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,1,planowe,224,89.24,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,4,inne,1,0.4,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2011,2011
,,3,nagły,56,19.93,4,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,1,planowe,225,80.07,4,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,4,inne,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2011,2011
,,3,nagły,3314,44.99,12,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,1,planowe,4050,54.98,10,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,4,inne,2,0.03,5,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,3,nagły,3530,61.13,12,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,1,planowe,2244,38.86,11,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,4,inne,1,0.02,13,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,3,nagły,728,44.15,8,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,1,planowe,920,55.79,6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,4,inne,1,0.06,6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,3,nagły,63,19.15,6,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,1,planowe,266,80.85,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,4,inne,0,0.0,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,3,nagły,3606,27.33,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,1,planowe,9585,72.64,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,4,inne,5,0.04,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,3,nagły,1039,29.69,7,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,1,planowe,2461,70.31,7,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,4,inne,0,0.0,0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,3,nagły,1005,17.86,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2011,2011
,,1,planowe,4622,82.14,2,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2011,2011
,,4,inne,0,0.0,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2011,2011
,,3,nagły,160,10.08,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2011,2011
,,1,planowe,1427,89.92,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2011,2011
,,4,inne,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2011,2011
,,3,nagły,1193,46.28,11,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2011,2011
,,1,planowe,1384,53.69,8,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2011,2011
,,4,inne,1,0.04,7,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2011,2011
,,3,nagły,8606,56.85,6,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2011,2011
,,1,planowe,6527,43.12,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2011,2011
,,4,inne,5,0.03,8,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2011,2011
,,3,nagły,847,45.37,7,A32 CHOROBY MIĘŚNI,1a,2011,2011
,,1,planowe,1020,54.63,5,A32 CHOROBY MIĘŚNI,1a,2011,2011
,,4,inne,0,0.0,0,A32 CHOROBY MIĘŚNI,1a,2011,2011
,,3,nagły,11518,66.46,4,A33 ZABURZENIA RÓWNOWAGI,1a,2011,2011
,,1,planowe,5810,33.52,3,A33 ZABURZENIA RÓWNOWAGI,1a,2011,2011
,,4,inne,4,0.02,5,A33 ZABURZENIA RÓWNOWAGI,1a,2011,2011
,,3,nagły,11921,69.59,7,A34 GUZY MÓZGU,1a,2011,2011
,,1,planowe,5202,30.37,4,A34 GUZY MÓZGU,1a,2011,2011
,,4,inne,8,0.05,5,A34 GUZY MÓZGU,1a,2011,2011
,,3,nagły,12231,57.92,7,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2011,2011
,,1,planowe,8876,42.03,6,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2011,2011
,,4,inne,9,0.04,8,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2011,2011
,,3,nagły,7458,49.27,5,A36 CHOROBY DEMIELINIZACYJNE,1a,2011,2011
,,1,planowe,7676,50.71,4,A36 CHOROBY DEMIELINIZACYJNE,1a,2011,2011
,,4,inne,4,0.03,7,A36 CHOROBY DEMIELINIZACYJNE,1a,2011,2011
,,3,nagły,18571,69.39,6,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2011,2011
,,1,planowe,8188,30.59,5,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2011,2011
,,4,inne,6,0.02,9,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2011,2011
,,3,nagły,11361,81.82,5,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2011,2011
,,1,planowe,2523,18.17,5,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2011,2011
,,4,inne,2,0.01,5,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2011,2011
,,3,nagły,27562,82.19,5,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2011,2011
,,1,planowe,5967,17.79,6,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2011,2011
,,4,inne,4,0.01,5,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2011,2011
,,3,nagły,40718,96.22,10,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,1,planowe,1598,3.78,11,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,4,inne,3,0.01,10,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,3,nagły,28036,89.19,9,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2011,2011
,,1,planowe,3391,10.79,9,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2011,2011
,,4,inne,7,0.02,7,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2011,2011
,,3,nagły,15819,92.0,4,A50 UDAR MÓZGU - LECZENIE,1a,2011,2011
,,1,planowe,1372,7.98,5,A50 UDAR MÓZGU - LECZENIE,1a,2011,2011
,,4,inne,3,0.02,7,A50 UDAR MÓZGU - LECZENIE,1a,2011,2011
,,3,nagły,2254,98.64,11,A51 UDAR MÓZGU - LECZENIE TROMBOLITYCZNE > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,1,planowe,31,1.36,14,A51 UDAR MÓZGU - LECZENIE TROMBOLITYCZNE > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,4,inne,0,0.0,0,A51 UDAR MÓZGU - LECZENIE TROMBOLITYCZNE > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,3,nagły,2491,70.65,7,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2011,2011
,,1,planowe,1035,29.35,6,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2011,2011
,,4,inne,0,0.0,0,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2011,2011
,,3,nagły,4726,83.96,11,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2011,2011
,,1,planowe,901,16.01,9,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2011,2011
,,4,inne,2,0.04,10,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2011,2011
,,3,nagły,1059,49.46,6,A58 ENCEFALOPATIA,1a,2011,2011
,,1,planowe,1082,50.54,3,A58 ENCEFALOPATIA,1a,2011,2011
,,4,inne,0,0.0,0,A58 ENCEFALOPATIA,1a,2011,2011
,,3,nagły,17005,66.97,3,A59 BÓLE GŁOWY,1a,2011,2011
,,1,planowe,8381,33.01,3,A59 BÓLE GŁOWY,1a,2011,2011
,,4,inne,7,0.03,3,A59 BÓLE GŁOWY,1a,2011,2011
,,3,nagły,10995,76.94,3,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2011,2011
,,1,planowe,3292,23.04,1,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2011,2011
,,4,inne,3,0.02,6,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2011,2011
,,3,nagły,9479,77.77,6,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2011,2011
,,1,planowe,2707,22.21,6,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2011,2011
,,4,inne,2,0.02,7,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2011,2011
,,3,nagły,39905,94.87,3,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,1,planowe,2156,5.13,3,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,4,inne,1,0.0,3,A76 URAZY GŁOWY Z ISTOTNYM USZKODZENIEM MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,3,nagły,27173,92.29,2,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,1,planowe,2268,7.7,2,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,4,inne,3,0.01,4,A77 URAZY GŁOWY BEZ ISTOTNEGO USZKODZENIA MÓZGU LECZONE ZACHOWAWCZO,1a,2011,2011
,,3,nagły,483,45.39,8,A86 CHOROBY NEURONU RUCHOWEGO,1a,2011,2011
,,1,planowe,581,54.61,7,A86 CHOROBY NEURONU RUCHOWEGO,1a,2011,2011
,,4,inne,0,0.0,0,A86 CHOROBY NEURONU RUCHOWEGO,1a,2011,2011
,,3,nagły,31420,56.35,6,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2011,2011
,,1,planowe,24326,43.63,5,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2011,2011
,,4,inne,15,0.03,5,A87 INNE CHOROBY UKŁADU NERWOWEGO,1a,2011,2011
,,3,nagły,48,8.19,1,B01 LECZENIE WYSIĘKOWEJ POSTACI AMD WERTEPORFINĄ PRZY ZASTOSOWANIU TERAPII FOTODYNAMICZNEJ,1a,2011,2011
,,1,planowe,538,91.81,0,B01 LECZENIE WYSIĘKOWEJ POSTACI AMD WERTEPORFINĄ PRZY ZASTOSOWANIU TERAPII FOTODYNAMICZNEJ,1a,2011,2011
,,4,inne,0,0.0,0,B01 LECZENIE WYSIĘKOWEJ POSTACI AMD WERTEPORFINĄ PRZY ZASTOSOWANIU TERAPII FOTODYNAMICZNEJ,1a,2011,2011
,,3,nagły,639,6.35,0,B02 LECZENIE WYSIĘKOWEJ POSTACI AMD Z ZASTOSOWANIEM INIEKCJI DOSZKLISTKOWYCH PRZECIWCIAŁA MONOKLONALNEGO ANTY-VEGF/ REKOMBINOWANEGO BIAŁKA FUZYJNEGO,1a,2011,2011
,,1,planowe,9424,93.61,0,B02 LECZENIE WYSIĘKOWEJ POSTACI AMD Z ZASTOSOWANIEM INIEKCJI DOSZKLISTKOWYCH PRZECIWCIAŁA MONOKLONALNEGO ANTY-VEGF/ REKOMBINOWANEGO BIAŁKA FUZYJNEGO,1a,2011,2011
,,4,inne,4,0.04,0,B02 LECZENIE WYSIĘKOWEJ POSTACI AMD Z ZASTOSOWANIEM INIEKCJI DOSZKLISTKOWYCH PRZECIWCIAŁA MONOKLONALNEGO ANTY-VEGF/ REKOMBINOWANEGO BIAŁKA FUZYJNEGO,1a,2011,2011
,,3,nagły,71,36.98,6,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2011,2011
,,1,planowe,121,63.02,6,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2011,2011
,,4,inne,0,0.0,0,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2011,2011
,,3,nagły,384,42.2,6,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2011,2011
,,1,planowe,525,57.69,6,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2011,2011
,,4,inne,1,0.11,2,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2011,2011
,,3,nagły,29,42.03,6,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2011,2011
,,1,planowe,40,57.97,5,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2011,2011
,,4,inne,0,0.0,0,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2011,2011
,,3,nagły,250,12.43,4,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2011,2011
,,1,planowe,1762,87.57,2,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2011,2011
,,4,inne,0,0.0,0,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2011,2011
,,3,nagły,2239,3.95,2,B12 USUNIĘCIE ZAĆMY POWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,1,planowe,54442,96.02,2,B12 USUNIĘCIE ZAĆMY POWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,4,inne,19,0.03,1,B12 USUNIĘCIE ZAĆMY POWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,3,nagły,2876,2.65,2,B13 USUNIĘCIE ZAĆMY NIEPOWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,1,planowe,105794,97.33,1,B13 USUNIĘCIE ZAĆMY NIEPOWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
,,4,inne,31,0.03,2,B13 USUNIĘCIE ZAĆMY NIEPOWIKŁANEJ METODĄ EMULSYFIKACJI Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2011,2011
