branch,hospital-types,gender-code,gender-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,0,płeć nieokreślona,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,1,mężczyzna,4295,75.44,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,2,kobieta,1398,24.56,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,9,nieznana,0,0.0,0,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,1,mężczyzna,488,75.31,5,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,2,kobieta,160,24.69,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,9,nieznana,0,0.0,0,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2018,2018
,,1,mężczyzna,264,59.73,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2018,2018
,,2,kobieta,178,40.27,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2018,2018
,,9,nieznana,0,0.0,0,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2018,2018
,,1,mężczyzna,443,57.53,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2018,2018
,,2,kobieta,327,42.47,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2018,2018
,,9,nieznana,0,0.0,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,1,mężczyzna,3538,43.69,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,2,kobieta,4560,56.31,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,9,nieznana,0,0.0,0,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,1,mężczyzna,2956,52.62,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,2,kobieta,2662,47.38,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,9,nieznana,0,0.0,0,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,1,mężczyzna,953,48.35,5,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,2,kobieta,1018,51.65,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,9,nieznana,0,0.0,0,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,1,mężczyzna,271,43.29,1,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,2,kobieta,355,56.71,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,9,nieznana,0,0.0,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,1,mężczyzna,6082,52.49,5,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,2,kobieta,5504,47.51,5,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,9,nieznana,0,0.0,0,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,1,mężczyzna,1210,54.8,4,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,2,kobieta,998,45.2,4,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,9,nieznana,0,0.0,0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,1,mężczyzna,13,50.0,3,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,2,kobieta,13,50.0,4,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,9,nieznana,0,0.0,0,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2018,2018
,,1,mężczyzna,2919,35.08,3,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2018,2018
,,2,kobieta,5401,64.92,3,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2018,2018
,,9,nieznana,0,0.0,0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2018,2018
,,1,mężczyzna,644,42.45,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2018,2018
,,2,kobieta,873,57.55,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2018,2018
,,9,nieznana,0,0.0,0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,1,mężczyzna,840,53.54,4,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,2,kobieta,729,46.46,5,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,9,nieznana,0,0.0,0,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2018,2018
,,1,mężczyzna,2616,54.03,6,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2018,2018
,,2,kobieta,2226,45.97,6,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2018,2018
,,9,nieznana,0,0.0,0,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2018,2018
,,1,mężczyzna,7206,48.72,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2018,2018
,,2,kobieta,7584,51.28,5,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2018,2018
,,9,nieznana,0,0.0,0,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2018,2018
,,1,mężczyzna,299,44.43,7,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2018,2018
,,2,kobieta,374,55.57,7,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2018,2018
,,9,nieznana,0,0.0,0,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2018,2018
,,0,płeć nieokreślona,0,0.0,0,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2018,2018
