branch,hospital-types,contract-product-code,contract-product-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,30703,CHIRURGIA OGÓLNA - HOSPITALIZACJA,454,9.58,12,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,4254,89.75,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2023,2023
,,30703,CHIRURGIA OGÓLNA - HOSPITALIZACJA,15,5.64,9,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,240,90.23,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,31333,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,7,2.63,6,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2023,2023
,,31397,NEUROCHIRURGIA - HOSPITALIZACJA - A03,444,85.71,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,31991,NEUROCHIRURGIA - HOSPITALIZACJA - A03- ŚWIADCZENIA UDZIELANE OSOBOM DO UKOŃCZENIA 18. ROKU ŻYCIA (ŚWIADCZENIA FINANSOWANE ODRĘBNIE W PSZ),21,4.05,2,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,32474,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA - A03,53,10.23,3,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,1037,93.09,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2023,2023
,,31497,UROLOGIA - HOSPITALIZACJA,62,5.57,0,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,2827,36.12,8,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31355,NEUROCHIRURGIA - HOSPITALIZACJA - PAKIET ONKOLOGICZNY,2864,36.6,7,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31626,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,2048,26.17,8,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31355,NEUROCHIRURGIA - HOSPITALIZACJA - PAKIET ONKOLOGICZNY,920,73.13,8,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2023,2023
,,31626,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,338,26.87,8,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,2190,60.2,8,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31355,NEUROCHIRURGIA - HOSPITALIZACJA - PAKIET ONKOLOGICZNY,636,17.48,5,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31626,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,769,21.14,8,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,30703,CHIRURGIA OGÓLNA - HOSPITALIZACJA,78,7.28,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,706,65.92,6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31626,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,63,5.88,6,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31394,ORTOPEDIA I TRAUMATOLOGIA NARZĄDU RUCHU - HOSPITALIZACJA,69,6.44,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31333,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA,96,8.96,3,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31658,OTORYNOLARYNGOLOGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,11,1.03,4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31988,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA,27,2.52,2,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,30703,CHIRURGIA OGÓLNA - HOSPITALIZACJA,11,2.16,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,30851,CHIRURGIA OGÓLNA - ZESPÓŁ CHIRURGII JEDNEGO DNIA,14,2.75,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31763,CHIRURGIA DZIECIĘCA - HOSPITALIZACJA,8,1.57,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,198,38.82,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31626,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,8,1.57,5,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,32487,NEUROCHIRURGIA DZIECIĘCA - HOSPITALIZACJA,10,1.96,3,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31394,ORTOPEDIA I TRAUMATOLOGIA NARZĄDU RUCHU - HOSPITALIZACJA,88,17.25,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31775,ORTOPEDIA I TRAUMATOLOGIA NARZĄDU RUCHU - ZESPÓŁ CHIRURGII JEDNEGO DNIA,16,3.14,0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31988,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA,125,24.51,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31630,CHIRURGIA SZCZĘKOWO-TWARZOWA - HOSPITALIZACJA- ŚWIADCZENIA UDZIELANE OSOBOM DO UKOŃCZENIA 18. ROKU ŻYCIA (ŚWIADCZENIA FINANSOWANE ODRĘBNIE W PSZ),21,4.12,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2023,2023
,,31337,NEUROCHIRURGIA - HOSPITALIZACJA,14295,69.89,4,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,31355,NEUROCHIRURGIA - HOSPITALIZACJA - PAKIET ONKOLOGICZNY,399,1.95,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,31626,NEUROCHIRURGIA - HOSPITALIZACJA - ŚWIADCZENIA DIAGNOSTYKI I LECZENIA ONKOLOGICZNEGO - POZA PAKIETEM ONKOLOGICZNYM,290,1.42,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,31394,ORTOPEDIA I TRAUMATOLOGIA NARZĄDU RUCHU - HOSPITALIZACJA,4894,23.93,3,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
,,31334,ORTOPEDIA I TRAUMATOLOGIA NARZĄDU RUCHU - HOSPITALIZACJA PLANOWA,358,1.75,3,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2023,2023
