procedure-code,procedure-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
99.69,Inne rodzaje umiarawiania serca,48,100.0,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
M37,Kreatynina,48,100.0,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
G21,Czas protrombinowy (PT),47,97.92,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
O35,Sód (Na),45,93.75,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
G11,Czas częściowej tromboplastyny po aktywacji (APTT),45,93.75,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
N45,Potas (K),39,81.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
V39,Wirus zapalenia wątroby typu B HBs Antygen,38,79.17,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
87.440,RTG klatki piersiowej,31,64.58,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
I19,Aminotransferaza asparaginianowa (AST),27,56.25,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
L69,Hormon tyreotropowy (TSH),27,56.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
C55,"Morfologia krwi, z pełnym różnicowaniem granulocytów",27,56.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
I17,Aminotransferaza alaninowa (ALT),27,56.25,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
I89,Bilirubina całkowita,27,56.25,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
N13,Mocznik,26,54.17,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
96.781,Ciągła mechaniczna wentylacja trwająca mniej niż 96 godzin,25,52.08,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
G53,Fibrynogen (FIBR),24,50.0,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
L43,Glukoza z krwi żylnej,23,47.92,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.540,Monitorowanie podstawowych funkcji życiowych,23,47.92,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
I81,Białko C-reaktywne (CRP),22,45.83,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
M18,Kinaza fosfokreatynowa (CK),22,45.83,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.65,Gazometria krwi tętniczej,22,45.83,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
C53,Morfologia krwi 8-parametrowa,20,41.67,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.521,Elektrokardiografia nieokreślona,20,41.67,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
37.281,Echokardiografia jam serca,20,41.67,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
M19,Kinaza fosfokreatynowa izoenzym CK-MB (CKMB),20,41.67,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.522,Elektrokardiografia z 12 lub więcej odprowadzeniami (z opisem),19,39.58,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
87.441,RTG płuc - inne,18,37.5,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
V48,Wirus zapalenia wątroby typu C (HCV) Przeciwciała (anty-HCV),18,37.5,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
87.495,RTG śródpiersia,18,37.5,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
88.722,Echokardiografia przezprzełykowa,17,35.42,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
N24,NT-proBNP,16,33.33,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
88.721,Echokardiografia,16,33.33,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
E65,Oznaczenie grupy krwi układu ABO i Rh,15,31.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
97.42,Usunięcie drenu ze śródpiersia,15,31.25,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.542,Monitorowanie ciśnienia tętniczego krwi przy pomocy urządzeń analogowych (typu Holter),15,31.25,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
96.71,Wentylacja wspomagana przez rurkę intubacyjną,15,31.25,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.91,Oddychanie z przerywanym ciśnieniem dodatnim (IPPB),14,29.17,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
96.73,Wentylacja z ciągłym dodatnim ciśnieniem końcowo-wydechowym (PEEP),14,29.17,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.90,Ciągłe dodatnie ciśnienie w drogach oddechowych (CPAP),14,29.17,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
100.51,Sedacja i nadzór intensywny (do 2 godzin),14,29.17,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
96.76,Odzwyczajanie od respiratora chorego zaintubowanego rurką dotchawiczą,14,29.17,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
96.74,Wentylacja ze wspomaganiem ciśnieniowym (PSV),14,29.17,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
O69,Tyroksyna wolna (FT4),11,22.92,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1202,Ćwiczenia czynne wolne,9,18.75,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
O55,Trijodotyronina wolna (FT3),9,18.75,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1602,Mobilizacja dużych stawów,9,18.75,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1601,Mobilizacja malych stawów,9,18.75,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
L55,Hemoglobina glikowana (HbA1c),8,16.67,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
99.18,Wstrzyknięcie/ infuzja elektrolitów,8,16.67,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
I77,Białko całkowite,7,14.58,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.61,Monitorowanie systemowego ciśnienia tętniczego,7,14.58,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
O61,Troponina T,7,14.58,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.00,"Porada lekarska, konsultacja, asysta",6,12.5,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
37.331,"Ablacja tkanki serca (krioablacja) (elektroablacja) (laserowa) (mikrofalowa) (promieniowaniem) (wycięcie), operacja z otwarciem klatki piersiowej",6,12.5,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
A01,Badanie ogólne moczu (profil),6,12.5,9,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
88.39,Zdjęcie RTG - inne,5,10.42,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
100.12,Znieczulenie całkowite dożylne (powyżej 60 minut),4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.04,Opieka pielęgniarki lub położnej,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
94.131,Wywiad przed przyjęciem na leczenie,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
23.0102,Badanie lekarskie kontrolne,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
97.82,Usunięcie drenu otrzewnowego,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.02,"Porada lekarska, inne",4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.89,Rehabilitacja - inne,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.01,Profilaktyka i promocja zdrowia,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.549,Monitorowanie elektrokardiograficzne - inne,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.661,Gazometria mieszanej krwi żylnej,4,8.33,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
34.041,Drenaż jamy opłucnowej,4,8.33,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
96.55,Toaleta drzewa oskrzelowego,3,6.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
F91,Wirus/ przeciwciała nabytego niedoboru odporności (HIV) Antygen/ Przeciwciała,3,6.25,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.964,Tlenoterapia,3,6.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.57,Założenie opatrunku na ranę - inne,3,6.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
97.41,Usunięcie drenu torakotomijnego lub drenu z jamy opłucnowej,3,6.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.62,Monitorowanie centralnego ciśnienia żylnego,3,6.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
100.02,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (od 2 do 4 godzin),3,6.25,10,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.94,Nebulizacja,3,6.25,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
99.07,Przetoczenie osocza - inne,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
