catalog,name,year,period,id,header,type,link
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,8c96be1e-3aaa-ca04-27a9-a404cce8c687,Dane ogólne,general-data,https://api.nfz.gov.pl/app-stat-api-jgp/basic-data/8c96be1e-3aaa-ca04-27a9-a404cce8c687?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,f210b75b-4091-1518-9b86-ed8a6b8dc4a6,Liczba hospitalizacji i czas pobytu pacjenta ze względu na płeć pacjenta,hospitalization-by-gender,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-gender/f210b75b-4091-1518-9b86-ed8a6b8dc4a6?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,f30373b1-f421-04aa-af66-16d0b158dbc9,Liczba hospitalizacji i czas pobytu ze względu na wiek pacjenta,hospitalization-by-age,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-patient-age/f30373b1-f421-04aa-af66-16d0b158dbc9?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,17caf84d-19bc-7db8-7d3a-7598077a3da1,Liczba hospitalizacji ze względu na tryb wypisu pacjenta,hospitalization-by-discharge,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-discharge-type/17caf84d-19bc-7db8-7d3a-7598077a3da1?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,615b9d05-bb1c-dd7e-acf8-c19e1158c29b,Procedury ICD 9  - Kody listy kierunkowej,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/615b9d05-bb1c-dd7e-acf8-c19e1158c29b?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,129cc88a-db0e-258e-8629-5e79fa0bd8a7,Liczba hospitalizacji i czas pobytu ze względu na tryb przyjęcia pacjenta,hospitalization-by-admission,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-admission-type/129cc88a-db0e-258e-8629-5e79fa0bd8a7?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,77d8a30e-e1c7-ddbd-f124-c69b22cbddc7,Liczba hospitalizacji i czas pobytu ze względu na zakres świadczeń,hospitalization-by-service,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-healthcare-service/77d8a30e-e1c7-ddbd-f124-c69b22cbddc7?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,eadf43f8-f940-713b-1fa3-380daf4b82e8,Kategorie produktów sumowanych do JGP - kategoryzacja NFZ,product-categories,https://api.nfz.gov.pl/app-stat-api-jgp/hospitalizations-by-product-category/eadf43f8-f940-713b-1fa3-380daf4b82e8?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,48485f32-251d-12b0-ed9b-a1eef62c5a7e,Histogram czasu pobytu,histograms,https://api.nfz.gov.pl/app-stat-api-jgp/histogram-data/48485f32-251d-12b0-ed9b-a1eef62c5a7e?format=json
1a,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,2024,2024,a2ecb1e0-bb1c-dd7e-acf8-c19e1158c29b,Procedury ICD 9,icd-9-procedures,https://api.nfz.gov.pl/app-stat-api-jgp/icd9-procedures/a2ecb1e0-bb1c-dd7e-acf8-c19e1158c29b?format=json
