branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,0,pozostałe świadczenia,98,1.67,0,354204.06,1.04,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,4,leczenie żywieniowe,98,1.67,0,264382.0,0.78,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,5,pobyt w OAiIT,1384,23.59,0,31728065.27,93.08,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,1358,23.14,0,1308156.35,3.84,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2011,2011
,,4,leczenie żywieniowe,14,2.35,0,60180.0,4.35,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,5,pobyt w OAiIT,51,8.56,0,1264899.45,91.46,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,48,8.05,0,45296.39,3.28,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2011,2011
,,0,pozostałe świadczenia,78,1.06,0,227185.11,1.27,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,5,pobyt w OAiIT,992,13.47,0,16184169.15,90.31,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,1032,14.01,0,784513.46,4.38,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,0,pozostałe świadczenia,63,1.09,0,210741.09,0.9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,5,pobyt w OAiIT,906,15.69,0,21623059.05,92.29,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,645,11.17,0,631291.26,2.69,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,4,leczenie żywieniowe,17,1.03,0,74664.0,2.14,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,5,pobyt w OAiIT,124,7.52,0,2978972.73,85.5,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,121,7.34,0,126703.39,3.64,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,234,1.77,0,204237.04,9.21,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2011,2011
,,0,pozostałe świadczenia,282,17.77,0,294251.36,99.9,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2011,2011
,,0,pozostałe świadczenia,123,4.77,0,1431573.0,14.78,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2011,2011
,,5,pobyt w OAiIT,28,1.09,0,590309.19,6.09,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,219,8.49,0,7598645.55,78.43,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,658,4.35,0,12783824.96,80.32,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2011,2011
,,0,pozostałe świadczenia,108,5.78,0,1348593.0,15.16,A32 CHOROBY MIĘŚNI,1a,2011,2011
,,5,pobyt w OAiIT,66,3.54,0,1625634.18,18.27,A32 CHOROBY MIĘŚNI,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,279,14.94,0,5830724.43,65.53,A32 CHOROBY MIĘŚNI,1a,2011,2011
,,0,pozostałe świadczenia,665,3.88,0,329772.3,19.92,A34 GUZY MÓZGU,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,229,1.34,0,245308.47,14.82,A34 GUZY MÓZGU,1a,2011,2011
,,0,pozostałe świadczenia,282,1.34,0,288379.12,3.61,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,432,2.05,0,403409.16,5.05,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,375,1.4,0,255370.11,2.87,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2011,2011
,,4,leczenie żywieniowe,1045,2.47,0,1975230.0,14.68,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,6,przetoczenie preparatów krwi i innych substancji,478,1.13,0,339834.74,2.53,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
,,7,rehabilitacja,518,1.22,0,5747116.9,42.71,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2011,2011
