branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,4518,4615,1.02,0.08,1.66,8,5,,,,,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,244,250,1.02,0.0,0.09,8,3,,,,,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,398,461,1.16,0.01,0.17,4,2,,,,,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,777,870,1.12,0.02,0.31,2,2,,,,,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2021,2021
,,6946,7130,1.03,0.13,2.57,8,8,,,,,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,717,736,1.03,0.01,0.27,9,8,,,,,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
,,3708,3874,1.04,0.07,1.4,8,3,,,,,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,941,975,1.04,0.02,0.35,5,3,,,,,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,409,418,1.02,0.01,0.15,2,0,,,,,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,13731,14041,1.02,0.25,5.06,4,3,,,,,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2021,2021
,,1453,1470,1.01,0.03,0.53,3,3,,,,,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2021,2021
,,32,34,1.06,0.0,0.01,3,3,,,,,A24 MAŁE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2021,2021
,,6089,6845,1.12,0.12,2.47,3,3,,,,,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2021,2021
,,1230,1319,1.07,0.02,0.48,0,0,,,,,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2021,2021
,,1750,1823,1.04,0.03,0.66,4,2,,,,,A27 INNE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2021,2021
,,3688,3772,1.02,0.07,1.36,6,3,,,,,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2021,2021
,,7033,7327,1.04,0.13,2.64,4,3,,,,,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2021,2021
,,574,661,1.15,0.01,0.24,7,4,,,,,A32E CHOROBY MIĘŚNI > 65 R.Ż.,1a,2021,2021
,,868,1031,1.19,0.02,0.37,4,3,,,,,A32F CHOROBY MIĘŚNI < 66 R.Ż.,1a,2021,2021
,,2877,2886,1.0,0.05,1.04,4,3,,,,,A33 ZABURZENIA RÓWNOWAGI,1a,2021,2021
,,3409,3839,1.13,0.07,1.38,2,1,,,,,A34C GUZY MÓZGU I RDZENIA KRĘGOWEGO,1a,2021,2021
,,8909,9412,1.06,0.17,3.39,7,4,,,,,A34D GUZY MÓZGU I RDZENIA KRĘGOWEGO>3 DNI,1a,2021,2021
,,3118,3375,1.08,0.06,1.22,4,0,,,,,A35C CHOROBY ZWYRODNIENIOWE OUN,1a,2021,2021
,,1684,1716,1.02,0.03,0.62,6,4,,,,,A35D CHOROBY ZWYRODNIENIOWE OUN>3 DNI,1a,2021,2021
,,8227,9903,1.2,0.18,3.57,4,3,,,,,A36 CHOROBY DEMIELINIZACYJNE,1a,2021,2021
,,20310,21082,1.04,0.38,7.6,5,3,,,,,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2021,2021
,,8591,8680,1.01,0.16,3.13,5,4,,,,,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2021,2021
,,11465,11567,1.01,0.21,4.17,5,4,,,,,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2021,2021
,,55489,56585,1.02,1.02,20.39,10,8,,,,,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2021,2021
,,12417,12509,1.01,0.22,4.51,7,7,,,,,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2021,2021
,,12063,12634,1.05,0.23,4.55,3,0,,,,,A50 UDAR MÓZGU - LECZENIE,1a,2021,2021
,,2005,2084,1.04,0.04,0.75,5,3,,,,,A56 CHOROBY NERWÓW CZASZKOWYCH,1a,2021,2021
,,3727,4249,1.14,0.08,1.53,11,3,,,,,A57 CHOROBY ZAPALNE UKŁADU NERWOWEGO,1a,2021,2021
,,426,433,1.02,0.01,0.16,8,4,,,,,A58 ENCEFALOPATIA,1a,2021,2021
,,6353,6420,1.01,0.12,2.31,4,3,,,,,A59 BÓLE GŁOWY,1a,2021,2021
,,5560,5873,1.06,0.11,2.12,4,3,,,,,A66 PADACZKA - DIAGNOSTYKA I LECZENIE,1a,2021,2021
,,4788,4913,1.03,0.09,1.77,6,4,,,,,A67 PADACZKA - DIAGNOSTYKA I LECZENIE > 3 DNI,1a,2021,2021
