branch,hospital-types,type-of-admission-code,type-of-admission-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
,,11,przyjęcie na podstawie karty diagnostyki i leczenia onkologicznego,1,0.02,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,2057,44.48,9,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,2158,46.66,8,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,234,5.06,6,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,8,przeniesienie z innego szpitala,174,3.76,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,9,przyjęcie osoby podlegającej obowiązkowemu leczeniu,1,0.02,7,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,58,23.2,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,67,26.8,8,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,120,48.0,7,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,8,przeniesienie z innego szpitala,5,2.0,11,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,2,0.43,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,43,9.33,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,415,90.02,4,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,8,przeniesienie z innego szpitala,1,0.22,105,A03 WSZCZEPIENIE STYMULATORA STRUKTUR GŁĘBOKICH MÓZGU/STYMULATORA NERWU BŁĘDNEGO *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,6,0.69,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,78,8.97,3,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,786,90.34,2,A04 WSZCZEPIENIE/WYMIANA STYMULATORA RDZENIA KRĘGOWEGO LUB WYMIANA GENERATORA DO STYMULACJI STRUKTUR GŁĘBOKICH MÓZGU *,1a,2021,2021
,,11,przyjęcie na podstawie karty diagnostyki i leczenia onkologicznego,113,1.58,8,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,784,10.98,13,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,2325,32.56,9,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,3775,52.86,8,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,8,przeniesienie z innego szpitala,143,2.0,8,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,9,przyjęcie osoby podlegającej obowiązkowemu leczeniu,1,0.01,43,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,11,przyjęcie na podstawie karty diagnostyki i leczenia onkologicznego,33,4.48,7,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,38,5.16,14,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,200,27.17,10,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,431,58.56,8,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
,,8,przeniesienie z innego szpitala,33,4.48,9,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
,,9,przyjęcie osoby podlegającej obowiązkowemu leczeniu,1,0.14,6,A11O KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE W ROZPOZNANIACH NOWOTWORÓW ZŁOŚLIWYCH * *,1a,2021,2021
,,11,przyjęcie na podstawie karty diagnostyki i leczenia onkologicznego,73,1.88,8,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,715,18.43,13,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,1493,38.49,9,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,1476,38.05,7,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,8,przeniesienie z innego szpitala,121,3.12,8,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,9,przyjęcie osoby podlegającej obowiązkowemu leczeniu,1,0.03,26,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,148,15.18,12,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,306,31.38,7,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,499,51.18,4,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,8,przeniesienie z innego szpitala,22,2.26,8,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,11,przyjęcie na podstawie karty diagnostyki i leczenia onkologicznego,1,0.24,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,5,1.2,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,3,przyjęcie w trybie nagłym - inne przypadki,94,22.49,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,6,przyjęcie planowe na podstawie skierowania,317,75.84,2,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,8,przeniesienie z innego szpitala,1,0.24,8,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2021,2021
,,11,przyjęcie na podstawie karty diagnostyki i leczenia onkologicznego,38,0.27,7,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2021,2021
,,2,przyjęcie w trybie nagłym w wyniku przekazania przez zespół ratownictwa medycznego,206,1.47,8,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2021,2021
