branch,hospital-types,product-category-code,product-category-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,value,value-percentage,name,catalog,year,period
,,5,pobyt w OAiIT,1042,18.89,0,22629580.37,94.92,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,994,18.02,0,752144.89,3.16,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,0,pozostałe świadczenia,476,8.63,0,53246.71,0.22,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,4,leczenie żywieniowe,92,1.67,0,257548.2,1.08,A01 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU POWAŻNEGO URAZU *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,69,11.71,0,46940.4,3.49,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,5,pobyt w OAiIT,58,9.85,0,1257333.53,93.49,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,0,pozostałe świadczenia,36,6.11,0,3652.0,0.27,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,4,leczenie żywieniowe,7,1.19,0,24276.0,1.81,A02 ZABIEGI WEWNĄTRZCZASZKOWE Z POWODU URAZU *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,728,12.82,0,393615.03,4.0,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,5,pobyt w OAiIT,394,6.94,0,9094201.34,92.5,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,231,4.07,0,18768.0,0.19,A11 KOMPLEKSOWE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,5,pobyt w OAiIT,602,8.83,0,13149590.78,93.18,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,555,8.14,0,369047.67,2.62,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,437,6.41,0,29457.93,0.21,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,4,leczenie żywieniowe,71,1.04,0,229388.16,1.63,A12 DUŻE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,5,pobyt w OAiIT,73,4.91,0,1337820.5,91.63,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,65,4.37,0,18222.75,1.25,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,64,4.31,0,33830.4,2.32,A13 ŚREDNIE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,12,2.43,0,0.0,0.0,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,5,1.01,0,19431.0,34.18,A14 MAŁE ZABIEGI WEWNĄTRZCZASZKOWE *,1a,2009,2009
,,0,pozostałe świadczenia,382,3.62,0,2927.18,0.16,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,205,1.94,0,116645.05,6.25,A22 DUŻE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,0,pozostałe świadczenia,80,1.66,0,0.01,0.0,A23 ŚREDNIE ZABIEGI NA RDZENIU KRĘGOWYM I W KANALE KRĘGOWYM *,1a,2009,2009
,,0,pozostałe świadczenia,46,1.02,0,0.0,0.0,A25 ZABIEGI NA NERWACH OBWODOWYCH *,1a,2009,2009
,,0,pozostałe świadczenia,216,19.0,0,89111.29,99.0,A26 ZABIEGI ZWALCZAJĄCE BÓL I NA UKŁADZIE WSPÓŁCZULNYM *,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,126,7.37,0,3751951.8,72.51,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2009,2009
,,0,pozostałe świadczenia,97,5.68,0,949483.6,18.35,A30 KOMPLEKSOWA DIAGNOSTYKA POLINEUROPATII I CHORÓB MIĘŚNI,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,504,3.03,0,9430000.5,79.04,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2009,2009
,,0,pozostałe świadczenia,441,2.65,0,1154992.0,9.68,A31 CHOROBY NERWÓW OBWODOWYCH,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,229,11.29,0,3455972.22,62.58,A32 CHOROBY MIĘŚNI,1a,2009,2009
,,0,pozostałe świadczenia,150,7.4,0,988941.0,17.91,A32 CHOROBY MIĘŚNI,1a,2009,2009
,,5,pobyt w OAiIT,40,1.97,0,1025483.01,18.57,A32 CHOROBY MIĘŚNI,1a,2009,2009
,,0,pozostałe świadczenia,557,3.38,0,16502.9,21.9,A33 ZABURZENIA RÓWNOWAGI,1a,2009,2009
,,0,pozostałe świadczenia,982,5.84,0,190754.3,9.88,A34 GUZY MÓZGU,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,241,1.43,0,231629.11,12.0,A34 GUZY MÓZGU,1a,2009,2009
,,0,pozostałe świadczenia,773,4.02,0,262982.2,6.8,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,251,1.31,0,152779.92,3.95,A35 CHOROBY ZWYRODNIENIOWE OUN,1a,2009,2009
,,0,pozostałe świadczenia,430,2.91,0,422422.29,22.34,A36 CHOROBY DEMIELINIZACYJNE,1a,2009,2009
,,2,chemioterapia,180,1.22,0,545421.44,28.84,A36 CHOROBY DEMIELINIZACYJNE,1a,2009,2009
,,0,pozostałe świadczenia,618,2.67,0,58417.18,1.05,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2009,2009
,,6,przetoczenie preparatów krwi i innych substancji,289,1.25,0,159286.35,2.86,A45 CHOROBY NACZYŃ MÓZGOWYCH - LECZENIE ZACHOWAWCZE,1a,2009,2009
,,0,pozostałe świadczenia,852,4.19,0,7970.0,2.12,A46 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU,1a,2009,2009
,,0,pozostałe świadczenia,1476,5.24,0,8901.5,2.87,A47 PRZEMIJAJĄCE NIEDOKRWIENIE MÓZGU - ROZSZERZONA DIAGNOSTYKA,1a,2009,2009
,,0,pozostałe świadczenia,2322,6.09,0,151417.5,1.84,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2009,2009
,,4,leczenie żywieniowe,857,2.25,0,1449416.94,17.59,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2009,2009
,,7,rehabilitacja,471,1.23,0,2628568.8,31.89,A48 KOMPLEKSOWE LECZENIE UDARÓW MÓZGU > 7 DNI W ODDZIALE UDAROWYM,1a,2009,2009
,,0,pozostałe świadczenia,3296,7.68,0,186321.03,1.77,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2009,2009
,,4,leczenie żywieniowe,597,1.39,0,685268.1,6.51,A49 UDAR MÓZGU - LECZENIE > 3 DNI,1a,2009,2009
